BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
PORSCHE,CAYMAN GT4,TWO-SEATER,3.8,6.0,M6,Z,13.3,10.1,11.8,24,277
MASERATI,QUATTROPORTE S,FULL-SIZE,3.0,6.0,AS8,Z,15.2,10.2,12.9,22,300
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,20.6,14.3,17.8,16,292
HYUNDAI,TUCSON AWD,SUV - SMALL,2.0,4.0,AS6,,11.0,9.0,10.1,28,240
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,E,23.1,18.6,21.0,13,345
MERCEDES-BENZ,AMG GLA 45,SUV - SMALL,2.0,4.0,AS7,Z,10.3,8.1,9.3,30,216
MAZDA,MAZDA5,MINIVAN,2.5,4.0,AS5,X,10.8,8.3,9.7,29,226
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,E,19.2,13.1,16.4,17,269
NISSAN,ALTIMA SR,MID-SIZE,2.5,4.0,AV7,X,8.9,6.3,7.7,37,181
HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4.0,AS6,X,11.7,8.7,10.3,27,239
LEXUS,GS F,COMPACT,5.0,8.0,AS8,Z,14.9,9.7,12.5,23,293
RAM,PROMASTER CITY,SPECIAL PURPOSE VEHICLE,2.4,4.0,A9,X,11.2,8.1,9.8,29,231
KIA,FORTE,MID-SIZE,2.0,4.0,AS6,X,9.7,6.7,8.3,34,196
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12.0,AS7,Z,18.5,11.8,15.5,18,361
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4.0,M6,Z,9.4,7.6,8.6,33,201
KIA,FORTE 5,FULL-SIZE,2.0,4.0,M6,X,9.7,6.9,8.4,34,197
TOYOTA,PRIUS,MID-SIZE,1.8,,AV,X,4.4,4.6,4.5,63,104
RAM,1500 ECODIESEL HFE,PICKUP TRUCK - STANDARD,3.0,6.0,A8,D,11.3,8.0,9.8,29,264
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,,15.3,10.6,13.2,21,309
MERCEDES-BENZ,CLA 250 4MATIC FFV,COMPACT,2.0,4.0,AS7,Z,9.8,7.1,8.6,33,198
FORD,FOCUS RS AWD,MID-SIZE,2.3,4.0,M6,Z,12.1,9.3,10.9,26,255
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22,296
BUICK,LACROSSE FFV,MID-SIZE,3.6,6.0,AS6,X,13.7,8.6,11.4,25,268
VOLKSWAGEN,JETTA,COMPACT,2.0,4.0,M6,X,10.1,7.2,8.8,32,207
MERCEDES-BENZ,AMG GLE 63 S COUPE 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.2,12.8,15.2,19,363
VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6.0,AS8,X,14.1,10.4,12.4,23,292
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8.0,AS8,Z,16.2,11.0,14.0,20,322
FORD,SHELBY GT350 MUSTANG,SUBCOMPACT,5.2,8.0,M6,Z,16.9,11.0,14.2,20,334
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4.0,M5,X,8.5,6.9,7.8,36,183
PORSCHE,911 TURBO S,MINICOMPACT,3.8,6.0,AM7,Z,13.7,9.6,11.9,24,278
BMW,650i xDRIVE COUPE,COMPACT,4.4,8.0,AS8,Z,14.4,9.6,12.3,23,288
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,13.1,9.4,11.4,25,268
HYUNDAI,VELOSTER,COMPACT,1.6,4.0,M6,X,8.8,6.7,7.8,36,186
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6.0,A6,X,16.1,10.8,13.7,21,323
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,X,12.5,8.2,10.6,27,248
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,AM7,Z,17.4,11.3,14.7,19,343
